Order ID,Customer ID,Platform,Delivery Time (Minutes),Product Category,Order Value (INR),Customer Feedback,Service Rating,Delivery Delay,Refund Requested,OrderDate
ORD000035,CUST2584,JioMart,41,Personal Care,668,"Fast delivery, great service!",5,Yes,No,2/4/2018
ORD000036,CUST6881,Swiggy Instamart,31,Fruits & Vegetables,582,Quick and reliable!,5,No,No,2/5/2018
ORD000037,CUST6635,JioMart,23,Fruits & Vegetables,101,"Fast delivery, great service!",5,No,No,2/6/2018
ORD000038,CUST5333,JioMart,21,Snacks,402,Wrong item delivered.,1,No,Yes,2/7/2018
ORD000039,CUST1711,Blinkit,41,Beverages,711,Wrong item delivered.,1,Yes,Yes,2/8/2018
ORD000040,CUST8527,JioMart,36,Dairy,632,Quick and reliable!,5,No,No,2/9/2018
ORD000041,CUST9785,Blinkit,21,Fruits & Vegetables,516,Wrong item delivered.,1,No,Yes,2/10/2018
ORD000042,CUST3045,JioMart,16,Beverages,409,"Horrible experience, never ordering again.",1,No,Yes,2/11/2018
ORD000043,CUST7201,JioMart,21,Snacks,124,Delivery person was rude.,2,No,Yes,2/12/2018
ORD000044,CUST2291,Blinkit,39,Grocery,1118,Quick and reliable!,5,No,No,2/13/2018
ORD000045,CUST5803,Blinkit,20,Personal Care,323,"Easy to order, loved it!",5,No,No,2/14/2018
ORD000046,CUST6925,JioMart,34,Snacks,174,Excellent experience!,5,No,No,2/15/2018
ORD000047,CUST4150,Swiggy Instamart,46,Snacks,320,"Horrible experience, never ordering again.",1,Yes,Yes,2/16/2018
ORD000048,CUST2139,Blinkit,22,Snacks,71,Packaging could be better.,3,No,No,2/17/2018
ORD000049,CUST1750,Swiggy Instamart,26,Snacks,53,"Fast delivery, great service!",5,No,No,2/18/2018
ORD000050,CUST4733,Swiggy Instamart,29,Personal Care,916,Wrong item delivered.,1,No,Yes,2/19/2018
ORD000051,CUST5741,Swiggy Instamart,13,Dairy,289,Quick and reliable!,5,No,No,2/20/2018
ORD000052,CUST2307,Blinkit,22,Grocery,774,"Easy to order, loved it!",5,No,No,2/21/2018
ORD000053,CUST4814,Swiggy Instamart,31,Beverages,917,Quick and reliable!,5,No,No,2/22/2018
ORD000054,CUST2654,Blinkit,20,Fruits & Vegetables,424,"Not fresh, disappointed.",2,No,Yes,2/23/2018
ORD000055,CUST7227,Swiggy Instamart,51,Beverages,167,"Very late delivery, not happy.",2,Yes,Yes,2/24/2018
ORD000056,CUST5554,JioMart,25,Fruits & Vegetables,657,Packaging could be better.,3,No,No,2/25/2018
ORD000057,CUST8428,JioMart,28,Personal Care,817,Good quality products.,4,No,No,2/26/2018
ORD000058,CUST6977,Blinkit,24,Dairy,243,Wrong item delivered.,1,No,Yes,2/27/2018
ORD000059,CUST3664,JioMart,27,Dairy,557,"Not fresh, disappointed.",2,No,Yes,2/28/2018
ORD000060,CUST7065,JioMart,22,Fruits & Vegetables,555,Packaging could be better.,3,No,No,3/1/2018
ORD000061,CUST6820,Swiggy Instamart,9,Fruits & Vegetables,586,Quick and reliable!,5,No,No,3/2/2018
ORD000062,CUST4432,Blinkit,26,Beverages,666,Delivery person was rude.,2,No,Yes,3/3/2018
ORD000063,CUST5374,Swiggy Instamart,48,Snacks,61,Delivery person was rude.,2,Yes,Yes,3/4/2018
ORD000064,CUST2169,Swiggy Instamart,46,Dairy,772,"Horrible experience, never ordering again.",1,Yes,Yes,3/5/2018
ORD000065,CUST3803,Swiggy Instamart,19,Personal Care,1595,"Not fresh, disappointed.",2,No,Yes,3/6/2018
ORD000066,CUST9751,Swiggy Instamart,14,Personal Care,1956,Wrong item delivered.,1,No,Yes,3/7/2018
ORD000067,CUST5010,Swiggy Instamart,9,Dairy,796,Wrong item delivered.,1,No,Yes,3/8/2018
ORD000068,CUST3677,Swiggy Instamart,20,Dairy,146,Excellent experience!,5,No,No,3/9/2018
ORD000069,CUST8573,Swiggy Instamart,24,Fruits & Vegetables,536,Quick and reliable!,5,No,No,3/10/2018
ORD000070,CUST7216,Blinkit,34,Snacks,353,"Very late delivery, not happy.",2,No,Yes,3/11/2018
ORD000071,CUST5422,JioMart,25,Dairy,641,"Not fresh, disappointed.",2,No,Yes,3/12/2018
ORD000072,CUST4598,Swiggy Instamart,38,Fruits & Vegetables,341,Excellent experience!,5,No,No,3/13/2018
ORD000073,CUST6313,Swiggy Instamart,35,Dairy,425,"Fast delivery, great service!",5,No,No,3/14/2018
ORD000074,CUST1916,Swiggy Instamart,33,Snacks,284,"Very late delivery, not happy.",2,No,Yes,3/15/2018
ORD000075,CUST4752,Swiggy Instamart,28,Beverages,905,Quick and reliable!,5,No,No,3/16/2018
ORD000076,CUST1525,Swiggy Instamart,39,Grocery,1221,Very satisfied with the service.,5,No,No,3/17/2018
ORD000077,CUST6168,Swiggy Instamart,36,Beverages,159,Items missing from order.,2,No,Yes,3/18/2018
ORD000078,CUST7572,JioMart,15,Fruits & Vegetables,122,Delivery person was rude.,2,No,Yes,3/19/2018
ORD000079,CUST5386,JioMart,35,Beverages,276,Excellent experience!,5,No,No,3/20/2018
ORD000080,CUST2084,Swiggy Instamart,24,Dairy,147,Very satisfied with the service.,5,No,No,3/21/2018
ORD000081,CUST4456,JioMart,39,Fruits & Vegetables,565,Very satisfied with the service.,5,No,No,3/22/2018
ORD000082,CUST6155,Blinkit,36,Personal Care,1848,Good quality products.,4,No,No,3/23/2018
ORD000083,CUST4483,Swiggy Instamart,47,Dairy,240,Packaging could be better.,3,Yes,No,3/24/2018
ORD000084,CUST9179,Blinkit,10,Beverages,910,Very satisfied with the service.,5,No,No,3/25/2018
ORD000085,CUST7482,Blinkit,33,Grocery,314,Packaging could be better.,3,No,No,3/26/2018
ORD000086,CUST8517,Swiggy Instamart,23,Grocery,1332,"Very late delivery, not happy.",2,No,Yes,3/27/2018
ORD000087,CUST3340,JioMart,51,Beverages,640,Wrong item delivered.,1,Yes,Yes,3/28/2018
ORD000088,CUST5339,Blinkit,5,Beverages,465,"Horrible experience, never ordering again.",1,No,Yes,3/29/2018
ORD000089,CUST3287,Swiggy Instamart,34,Personal Care,1690,"Fast delivery, great service!",5,No,No,3/30/2018
ORD000090,CUST5040,Blinkit,35,Fruits & Vegetables,191,Items missing from order.,2,No,Yes,3/31/2018
ORD000091,CUST9830,Blinkit,8,Personal Care,183,Very satisfied with the service.,5,No,No,4/1/2018
ORD000092,CUST5304,Blinkit,35,Fruits & Vegetables,288,"Fast delivery, great service!",5,No,No,4/2/2018
ORD000093,CUST8019,Blinkit,9,Grocery,645,Excellent experience!,5,No,No,4/3/2018
ORD000094,CUST7543,JioMart,22,Grocery,280,"Fast delivery, great service!",5,No,No,4/4/2018
ORD000095,CUST6930,Blinkit,34,Personal Care,703,Good quality products.,4,No,No,4/5/2018
ORD000096,CUST4593,Blinkit,20,Grocery,378,Packaging could be better.,3,No,No,4/6/2018
ORD000097,CUST3266,Blinkit,30,Fruits & Vegetables,306,Quick and reliable!,5,No,No,4/7/2018
ORD000098,CUST9348,JioMart,29,Fruits & Vegetables,160,"Easy to order, loved it!",5,No,No,4/8/2018
ORD000099,CUST9085,Blinkit,35,Beverages,364,"Not fresh, disappointed.",2,No,Yes,4/9/2018
ORD000100,CUST2489,Blinkit,19,Fruits & Vegetables,427,Quick and reliable!,5,No,No,4/10/2018
ORD000101,CUST1771,JioMart,39,Beverages,160,Very satisfied with the service.,5,No,No,4/11/2018
ORD000102,CUST2796,JioMart,5,Personal Care,377,Items missing from order.,2,No,Yes,4/12/2018
ORD000103,CUST3504,JioMart,45,Personal Care,634,Delivery person was rude.,2,Yes,Yes,4/13/2018
ORD000104,CUST3621,Blinkit,27,Snacks,285,Excellent experience!,5,No,No,4/14/2018
ORD000105,CUST7916,JioMart,28,Beverages,391,Items missing from order.,2,No,Yes,4/15/2018
ORD000106,CUST2040,JioMart,33,Snacks,51,Delivery person was rude.,2,No,Yes,4/16/2018
ORD000107,CUST7304,Blinkit,31,Fruits & Vegetables,367,Good quality products.,4,No,No,4/17/2018
ORD000108,CUST7252,JioMart,29,Grocery,1015,Excellent experience!,5,No,No,4/18/2018
ORD000109,CUST8668,Blinkit,42,Beverages,607,Packaging could be better.,3,Yes,No,4/19/2018
ORD000110,CUST9669,Swiggy Instamart,14,Dairy,600,"Horrible experience, never ordering again.",1,No,Yes,4/20/2018
ORD000111,CUST5119,JioMart,20,Personal Care,727,Delivery person was rude.,2,No,Yes,4/21/2018
ORD000112,CUST1188,Swiggy Instamart,34,Beverages,624,"Very late delivery, not happy.",2,No,Yes,4/22/2018
ORD000113,CUST2876,Blinkit,26,Fruits & Vegetables,252,Very satisfied with the service.,5,No,No,4/23/2018
ORD000114,CUST9797,JioMart,42,Dairy,724,"Very late delivery, not happy.",2,Yes,Yes,4/24/2018
ORD000115,CUST5371,Blinkit,52,Grocery,623,"Fast delivery, great service!",5,Yes,No,4/25/2018
ORD000116,CUST6573,Swiggy Instamart,30,Beverages,859,Quick and reliable!,5,No,No,4/26/2018
ORD000117,CUST2827,Blinkit,12,Dairy,599,"Fast delivery, great service!",5,No,No,4/27/2018
ORD000118,CUST5808,JioMart,21,Beverages,502,Items missing from order.,2,No,Yes,4/28/2018
ORD000119,CUST8123,JioMart,9,Personal Care,931,Items missing from order.,2,No,Yes,4/29/2018
ORD000120,CUST3591,Swiggy Instamart,36,Dairy,198,"Fast delivery, great service!",5,No,No,4/30/2018
ORD000121,CUST8433,Blinkit,20,Dairy,314,Packaging could be better.,3,No,No,5/1/2018
ORD000122,CUST1053,JioMart,28,Dairy,509,"Very late delivery, not happy.",2,No,Yes,5/2/2018
ORD000123,CUST5315,Swiggy Instamart,27,Dairy,436,Very satisfied with the service.,5,No,No,5/3/2018
ORD000124,CUST9201,JioMart,41,Grocery,718,Very satisfied with the service.,5,Yes,No,5/4/2018
ORD000125,CUST3927,JioMart,30,Snacks,418,Packaging could be better.,3,No,No,5/5/2018
ORD000126,CUST9317,Blinkit,27,Snacks,312,"Very late delivery, not happy.",2,No,Yes,5/6/2018
ORD000127,CUST2743,JioMart,20,Fruits & Vegetables,230,"Easy to order, loved it!",5,No,No,5/7/2018
ORD000128,CUST5889,Blinkit,36,Fruits & Vegetables,619,Items missing from order.,2,No,Yes,5/8/2018
ORD000129,CUST9317,JioMart,18,Snacks,70,Excellent experience!,5,No,No,5/9/2018
ORD000130,CUST4258,Swiggy Instamart,17,Fruits & Vegetables,596,Quick and reliable!,5,No,No,5/10/2018
ORD000131,CUST3504,JioMart,24,Beverages,734,"Horrible experience, never ordering again.",1,No,Yes,5/11/2018
ORD000132,CUST7126,Blinkit,50,Personal Care,1010,Packaging could be better.,3,Yes,No,5/12/2018
ORD000133,CUST3646,Blinkit,29,Beverages,580,Very satisfied with the service.,5,No,No,5/13/2018
ORD000134,CUST9837,Swiggy Instamart,29,Fruits & Vegetables,303,"Fast delivery, great service!",5,No,No,5/14/2018
ORD000135,CUST9689,JioMart,33,Dairy,472,"Not fresh, disappointed.",2,No,Yes,5/15/2018
ORD000136,CUST1009,JioMart,32,Beverages,987,"Fast delivery, great service!",5,No,No,5/16/2018
ORD000137,CUST6310,Swiggy Instamart,27,Dairy,207,"Very late delivery, not happy.",2,No,Yes,5/17/2018
ORD000138,CUST9005,JioMart,20,Beverages,548,Packaging could be better.,3,No,No,5/18/2018
ORD000139,CUST1319,JioMart,25,Snacks,220,Delivery person was rude.,2,No,Yes,5/19/2018
ORD000140,CUST2832,Blinkit,27,Fruits & Vegetables,209,"Very late delivery, not happy.",2,No,Yes,5/20/2018
ORD000141,CUST6947,JioMart,15,Dairy,517,"Horrible experience, never ordering again.",1,No,Yes,5/21/2018
ORD000142,CUST6038,JioMart,27,Dairy,244,Good quality products.,4,No,No,5/22/2018
ORD000143,CUST4923,Swiggy Instamart,31,Dairy,304,Excellent experience!,5,No,No,5/23/2018
ORD000144,CUST1949,Swiggy Instamart,24,Beverages,899,Quick and reliable!,5,No,No,5/24/2018
ORD000145,CUST4946,Blinkit,42,Personal Care,959,Delivery person was rude.,2,Yes,Yes,5/25/2018
ORD000146,CUST2290,JioMart,32,Snacks,155,"Very late delivery, not happy.",2,No,Yes,5/26/2018
ORD000147,CUST2403,JioMart,22,Fruits & Vegetables,131,"Very late delivery, not happy.",2,No,Yes,5/27/2018
ORD000148,CUST8962,JioMart,25,Grocery,330,Delivery person was rude.,2,No,Yes,5/28/2018
ORD000149,CUST2133,Blinkit,42,Fruits & Vegetables,617,Excellent experience!,5,Yes,No,5/29/2018
ORD000150,CUST9727,Blinkit,23,Dairy,403,"Not fresh, disappointed.",2,No,Yes,5/30/2018
ORD000151,CUST3060,Swiggy Instamart,21,Beverages,106,Excellent experience!,5,No,No,5/31/2018
ORD000152,CUST3103,Blinkit,21,Personal Care,1929,Packaging could be better.,3,No,No,6/1/2018
ORD000153,CUST8787,JioMart,30,Dairy,610,Quick and reliable!,5,No,No,6/2/2018
ORD000154,CUST3705,JioMart,32,Personal Care,696,"Very late delivery, not happy.",2,No,Yes,6/3/2018
ORD000155,CUST5342,Blinkit,36,Snacks,354,Quick and reliable!,5,No,No,6/4/2018
ORD000156,CUST9645,JioMart,22,Grocery,583,Good quality products.,4,No,No,6/5/2018
ORD000157,CUST7932,JioMart,45,Dairy,486,"Easy to order, loved it!",5,Yes,No,6/6/2018
ORD000158,CUST4470,Blinkit,35,Personal Care,731,"Horrible experience, never ordering again.",1,No,Yes,6/7/2018
ORD000159,CUST9835,Blinkit,25,Beverages,683,Excellent experience!,5,No,No,6/8/2018
ORD000160,CUST4295,JioMart,38,Grocery,1450,Wrong item delivered.,1,No,Yes,6/9/2018
ORD000161,CUST6107,JioMart,49,Grocery,379,Quick and reliable!,5,Yes,No,6/10/2018
ORD000162,CUST7537,JioMart,34,Dairy,786,"Horrible experience, never ordering again.",1,No,Yes,6/11/2018
ORD000163,CUST7118,Swiggy Instamart,47,Dairy,412,"Very late delivery, not happy.",2,Yes,Yes,6/12/2018
ORD000164,CUST8177,Swiggy Instamart,19,Snacks,468,Very satisfied with the service.,5,No,No,6/13/2018
ORD000165,CUST9479,Swiggy Instamart,10,Snacks,422,Quick and reliable!,5,No,No,6/14/2018
ORD000166,CUST8397,Blinkit,35,Beverages,863,Quick and reliable!,5,No,No,6/15/2018
ORD000167,CUST2982,Swiggy Instamart,41,Snacks,145,Very satisfied with the service.,5,Yes,No,6/16/2018
ORD000168,CUST5061,Blinkit,16,Personal Care,1490,"Easy to order, loved it!",5,No,No,6/17/2018
ORD000169,CUST4681,Blinkit,42,Personal Care,1291,"Horrible experience, never ordering again.",1,Yes,Yes,6/18/2018
ORD000170,CUST2049,Swiggy Instamart,25,Dairy,599,"Easy to order, loved it!",5,No,No,6/19/2018
ORD000171,CUST6539,Swiggy Instamart,36,Personal Care,476,Delivery person was rude.,2,No,Yes,6/20/2018
ORD000172,CUST1344,Swiggy Instamart,32,Beverages,613,Good quality products.,4,No,No,6/21/2018
ORD000173,CUST4770,JioMart,34,Dairy,121,Wrong item delivered.,1,No,Yes,6/22/2018
ORD000174,CUST4608,Swiggy Instamart,35,Personal Care,178,Delivery person was rude.,2,No,Yes,6/23/2018
ORD000175,CUST1117,JioMart,29,Beverages,310,"Easy to order, loved it!",5,No,No,6/24/2018
ORD000176,CUST2163,Blinkit,25,Personal Care,1727,Excellent experience!,5,No,No,6/25/2018
ORD000177,CUST1964,JioMart,33,Grocery,457,Items missing from order.,2,No,Yes,6/26/2018
ORD000178,CUST4750,Swiggy Instamart,27,Dairy,581,Excellent experience!,5,No,No,6/27/2018
ORD000179,CUST2104,Blinkit,23,Dairy,307,"Very late delivery, not happy.",2,No,Yes,6/28/2018
ORD000180,CUST1514,Blinkit,33,Grocery,1425,Wrong item delivered.,1,No,Yes,6/29/2018
ORD000181,CUST6413,Blinkit,24,Personal Care,1553,Quick and reliable!,5,No,No,6/30/2018
ORD000182,CUST2160,JioMart,28,Personal Care,752,"Easy to order, loved it!",5,No,No,7/1/2018
ORD000183,CUST9423,Swiggy Instamart,24,Fruits & Vegetables,675,"Easy to order, loved it!",5,No,No,7/2/2018
ORD000184,CUST4899,Blinkit,45,Fruits & Vegetables,239,"Fast delivery, great service!",5,Yes,No,7/3/2018
ORD000185,CUST5562,Blinkit,31,Grocery,788,Very satisfied with the service.,5,No,No,7/4/2018
ORD000186,CUST8953,Blinkit,14,Fruits & Vegetables,112,"Easy to order, loved it!",5,No,No,7/5/2018
ORD000187,CUST4510,JioMart,42,Fruits & Vegetables,283,Quick and reliable!,5,Yes,No,7/6/2018
ORD000188,CUST9834,JioMart,11,Snacks,244,Very satisfied with the service.,5,No,No,7/7/2018
ORD000189,CUST3167,Swiggy Instamart,51,Fruits & Vegetables,68,"Not fresh, disappointed.",2,Yes,Yes,7/8/2018
ORD000190,CUST8744,JioMart,30,Personal Care,1304,Excellent experience!,5,No,No,7/9/2018
ORD000191,CUST4981,Blinkit,23,Personal Care,662,Very satisfied with the service.,5,No,No,7/10/2018
ORD000192,CUST8749,Swiggy Instamart,26,Snacks,290,"Not fresh, disappointed.",2,No,Yes,7/11/2018
ORD000193,CUST7669,Blinkit,14,Fruits & Vegetables,195,"Very late delivery, not happy.",2,No,Yes,7/12/2018
ORD000194,CUST4119,Blinkit,28,Personal Care,1017,Packaging could be better.,3,No,No,7/13/2018
ORD000195,CUST2545,JioMart,25,Snacks,418,Quick and reliable!,5,No,No,7/14/2018
ORD000196,CUST2588,Swiggy Instamart,29,Grocery,800,Items missing from order.,2,No,Yes,7/15/2018
ORD000197,CUST8062,JioMart,38,Snacks,435,"Horrible experience, never ordering again.",1,No,Yes,7/16/2018
ORD000198,CUST6804,JioMart,33,Fruits & Vegetables,408,Quick and reliable!,5,No,No,7/17/2018
ORD000199,CUST7939,Swiggy Instamart,18,Personal Care,827,"Fast delivery, great service!",5,No,No,7/18/2018
ORD000200,CUST7735,Blinkit,20,Beverages,786,Excellent experience!,5,No,No,7/19/2018
ORD000201,CUST8651,Blinkit,32,Beverages,788,Quick and reliable!,5,No,No,7/20/2018
ORD000202,CUST1887,Swiggy Instamart,34,Dairy,661,"Fast delivery, great service!",5,No,No,7/21/2018
ORD000203,CUST2612,Blinkit,29,Beverages,492,Good quality products.,4,No,No,7/22/2018
ORD000204,CUST1993,Swiggy Instamart,35,Fruits & Vegetables,245,Delivery person was rude.,2,No,Yes,7/23/2018
ORD000205,CUST7596,Swiggy Instamart,31,Beverages,245,"Very late delivery, not happy.",2,No,Yes,7/24/2018
ORD000206,CUST6559,JioMart,31,Personal Care,1634,"Horrible experience, never ordering again.",1,No,Yes,7/25/2018
ORD000207,CUST2790,Swiggy Instamart,38,Beverages,174,Good quality products.,4,No,No,7/26/2018
ORD000208,CUST5073,JioMart,49,Dairy,619,Items missing from order.,2,Yes,Yes,7/27/2018
ORD000209,CUST4139,Blinkit,32,Fruits & Vegetables,499,Very satisfied with the service.,5,No,No,7/28/2018
ORD000210,CUST4116,Blinkit,60,Beverages,936,Excellent experience!,5,Yes,No,7/29/2018
ORD000211,CUST9786,Blinkit,31,Dairy,722,"Horrible experience, never ordering again.",1,No,Yes,7/30/2018
ORD000212,CUST8350,Blinkit,31,Beverages,470,"Horrible experience, never ordering again.",1,No,Yes,7/31/2018
ORD000213,CUST3296,JioMart,49,Grocery,316,"Fast delivery, great service!",5,Yes,No,8/1/2018
ORD000214,CUST7912,Blinkit,28,Dairy,226,Delivery person was rude.,2,No,Yes,8/2/2018
ORD000215,CUST4006,Swiggy Instamart,11,Grocery,585,Delivery person was rude.,2,No,Yes,8/3/2018
ORD000216,CUST5563,Swiggy Instamart,19,Fruits & Vegetables,690,"Horrible experience, never ordering again.",1,No,Yes,8/4/2018
ORD000217,CUST8579,Swiggy Instamart,39,Fruits & Vegetables,288,Wrong item delivered.,1,No,Yes,8/5/2018
ORD000218,CUST5092,JioMart,34,Snacks,491,Wrong item delivered.,1,No,Yes,8/6/2018
ORD000219,CUST2235,Blinkit,20,Beverages,576,"Very late delivery, not happy.",2,No,Yes,8/7/2018
ORD000220,CUST8260,Blinkit,10,Grocery,608,"Fast delivery, great service!",5,No,No,8/8/2018
ORD000221,CUST2604,Blinkit,26,Personal Care,413,Packaging could be better.,3,No,No,8/9/2018
ORD000222,CUST1828,JioMart,41,Dairy,743,"Horrible experience, never ordering again.",1,Yes,Yes,8/10/2018
ORD000223,CUST9856,Swiggy Instamart,28,Dairy,560,"Easy to order, loved it!",5,No,No,8/11/2018
ORD000224,CUST1241,Swiggy Instamart,26,Beverages,219,Quick and reliable!,5,No,No,8/12/2018
ORD000225,CUST2528,Blinkit,19,Snacks,313,"Not fresh, disappointed.",2,No,Yes,8/13/2018
ORD000226,CUST4872,Swiggy Instamart,26,Dairy,121,"Horrible experience, never ordering again.",1,No,Yes,8/14/2018
ORD000227,CUST3724,Swiggy Instamart,35,Snacks,76,"Easy to order, loved it!",5,No,No,8/15/2018
ORD000228,CUST7658,JioMart,28,Personal Care,274,Very satisfied with the service.,5,No,No,8/16/2018
ORD000229,CUST8956,JioMart,28,Dairy,322,"Very late delivery, not happy.",2,No,Yes,8/17/2018
ORD000230,CUST8886,JioMart,41,Dairy,256,Excellent experience!,5,Yes,No,8/18/2018
ORD000231,CUST4502,JioMart,22,Personal Care,1384,"Fast delivery, great service!",5,No,No,8/19/2018
ORD000232,CUST7570,Blinkit,34,Beverages,396,Good quality products.,4,No,No,8/20/2018
ORD000233,CUST1960,JioMart,28,Grocery,1059,"Very late delivery, not happy.",2,No,Yes,8/21/2018
ORD000234,CUST3697,Swiggy Instamart,46,Dairy,408,Very satisfied with the service.,5,Yes,No,8/22/2018
ORD000235,CUST7209,Blinkit,38,Snacks,391,Items missing from order.,2,No,Yes,8/23/2018
ORD000236,CUST1035,Swiggy Instamart,43,Grocery,897,"Easy to order, loved it!",5,Yes,No,8/24/2018
ORD000237,CUST7396,Swiggy Instamart,36,Dairy,187,"Horrible experience, never ordering again.",1,No,Yes,8/25/2018
ORD000238,CUST5345,Swiggy Instamart,25,Fruits & Vegetables,83,"Very late delivery, not happy.",2,No,Yes,8/26/2018
ORD000239,CUST8454,JioMart,44,Beverages,943,Excellent experience!,5,Yes,No,8/27/2018
ORD000240,CUST5673,JioMart,33,Dairy,412,Delivery person was rude.,2,No,Yes,8/28/2018
ORD000241,CUST7930,Blinkit,32,Beverages,332,Very satisfied with the service.,5,No,No,8/29/2018
ORD000242,CUST8973,Blinkit,22,Grocery,1219,Quick and reliable!,5,No,No,8/30/2018
ORD000243,CUST3536,JioMart,37,Beverages,581,Packaging could be better.,3,No,No,8/31/2018
ORD000244,CUST4111,Swiggy Instamart,25,Fruits & Vegetables,85,"Not fresh, disappointed.",2,No,Yes,9/1/2018
ORD000245,CUST5861,Blinkit,24,Snacks,426,Very satisfied with the service.,5,No,No,9/2/2018
ORD000246,CUST4566,JioMart,32,Snacks,90,Packaging could be better.,3,No,No,9/3/2018
ORD000247,CUST1958,JioMart,23,Snacks,443,"Very late delivery, not happy.",2,No,Yes,9/4/2018
ORD000248,CUST9883,JioMart,22,Grocery,431,"Fast delivery, great service!",5,No,No,9/5/2018
ORD000249,CUST1998,Swiggy Instamart,20,Fruits & Vegetables,496,Very satisfied with the service.,5,No,No,9/6/2018
ORD000250,CUST6138,JioMart,40,Personal Care,1178,Quick and reliable!,5,No,No,9/7/2018
ORD000251,CUST1936,JioMart,44,Personal Care,1639,"Horrible experience, never ordering again.",1,Yes,Yes,9/8/2018
ORD000252,CUST1821,JioMart,49,Grocery,664,"Very late delivery, not happy.",2,Yes,Yes,9/9/2018
ORD000253,CUST8811,JioMart,39,Dairy,352,"Easy to order, loved it!",5,No,No,9/10/2018
ORD000254,CUST9238,Blinkit,6,Beverages,404,Good quality products.,4,No,No,9/11/2018
ORD000255,CUST9701,Blinkit,33,Grocery,1471,"Very late delivery, not happy.",2,No,Yes,9/12/2018
ORD000256,CUST3579,JioMart,27,Dairy,738,"Horrible experience, never ordering again.",1,No,Yes,9/13/2018
